MMSI,label,Length,Width,Draft,L_over_W,W_over_L,area_proxy,L_over_D,W_over_D,log_area_proxy,sog_mean,log_sog_mean
258667000,3,205.0,32.0,7.2,6.40625,0.15609756097560976,6560.0,28.47222222222222,4.444444444444445,8.788898309344878,7.87651456639818,2.1834089761703175
367631230,2,48.0,9.0,3.0,5.333333333333333,0.1875,432.0,16.0,3.0,6.07073772800249,0.865309163877734,0.6234268108734107
316052572,4,23.0,12.0,4.8,1.9166666666666667,0.5217391304347826,276.0,4.791666666666667,2.5,5.6240175061873385,1.3958592715099056,0.8737419437661064
983104234,11,12.0,4.0,1.4403826333436016,3.0,0.3333333333333333,48.0,8.331119608228027,2.777039869409342,3.8918202981106265,10.251241806927451,2.4204785053966877
215125000,0,366.0,49.0,11.5,7.469387755102041,0.13387978142076504,17934.0,31.82608695652174,4.260869565217392,9.794509389966382,6.626748734372076,2.0316616384113018
323000035,10,20.0,6.0,1.4060593455993775,3.3333333333333335,0.3,120.0,14.224150682256134,4.267245204676841,4.795790545596741,27.86198060643023,3.362525179072361
232021209,5,58.0,12.0,4.111353742116863,4.833333333333333,0.20689655172413793,696.0,14.107275519945123,2.918746659298991,6.546785410760524,9.897337908959368,2.3885185308706145
636023896,0,183.0,32.0,10.2,5.71875,0.17486338797814208,5856.0,17.941176470588236,3.1372549019607847,8.675392806089782,8.68558765338903,2.2706389716716933
338403824,13,27.0,5.5,1.4,4.909090909090909,0.2037037037037037,148.5,19.28571428571429,3.928571428571429,5.0072963928307415,26.727351296914275,3.3224193374642295
538008000,0,186.0,28.0,6.7,6.642857142857143,0.15053763440860216,5208.0,27.761194029850746,4.17910447761194,8.558143177745192,9.17657150950834,2.320088167511705
247341300,0,236.0,36.0,8.6,6.555555555555555,0.15254237288135594,8496.0,27.44186046511628,4.186046511627907,9.047468439003541,9.576074364557554,2.3585943145291592
367401290,4,33.0,12.0,4.3,2.75,0.36363636363636365,396.0,7.674418604651163,2.7906976744186047,5.983936280687191,1.7044054390226406,0.9948820874077222
316005875,10,20.0,6.61865887332691,1.5489180683927242,3.0217602059232394,0.3309329436663455,132.3731774665382,12.912238812446374,4.273085199525716,4.893151044797819,32.39837405084931,3.508507217685395
338390164,6,37.5,6.8,4.532588104668341,5.514705882352941,0.18133333333333332,255.0,8.27341887990591,1.5002466235562717,5.545177444479562,13.984155873507982,2.706993367751053
983105004,11,12.0,4.0,1.1025495734172197,3.0,0.3333333333333333,48.0,10.883864353425347,3.6279547844751154,3.8918202981106265,9.604351440383986,2.361264430124285
369990304,10,20.0,6.0,1.1,3.3333333333333335,0.3,120.0,18.18181818181818,5.454545454545454,4.795790545596741,28.6833719417325,3.3905870217427116
369970631,7,155.0,17.0,1.7,9.117647058823529,0.10967741935483871,2635.0,91.17647058823529,10.0,7.877017895622398,25.790159010885304,3.2880346189956144
367596250,8,13.0,3.1085670822188938,2.980570439656589,4.181991141307655,0.23912054478606876,40.41137206884562,4.36158120171715,1.0429436730832813,3.7235555307647985,21.90693560030682,3.1314397293481755
419000843,3,179.0,32.0,12.5,5.59375,0.1787709497206704,5728.0,14.32,2.56,8.653296274408579,3.07148760330579,1.4040084371717438
338247129,8,13.0,2.0,2.68410708602389,6.5,0.15384615384615385,26.0,4.843323900037681,0.7451267538519508,3.295836866004329,18.07529095378858,2.9483938302016934
338173766,10,21.910683109096187,7.0,1.5458999999318672,3.130097587013741,0.3194788571924515,153.3747817636733,14.173415557320565,4.528106604766487,5.039383293704632,28.413273564884967,3.3814460542562026
419001245,3,274.0,48.0,15.300000000000002,5.708333333333333,0.17518248175182483,13152.0,17.90849673202614,3.137254901960784,9.48440514846878,7.017988503037427,2.081687580325227
316029239,7,27.0,5.9,4.31246977083099,4.576271186440677,0.21851851851851853,159.3,6.260913452106875,1.368125532127058,5.0770470596155075,25.528773386619783,3.2782299321248725
636020590,0,292.0,45.0,8.9,6.488888888888889,0.1541095890410959,13140.0,32.80898876404494,5.056179775280898,9.483492392643639,3.099056865464604,1.410756914435145
311000333,3,274.0,48.0,15.9,5.708333333333333,0.17518248175182483,13152.0,17.232704402515722,3.0188679245283017,9.48440514846878,5.53490090091405,1.8771571826022229
345070299,2,52.0,9.0,12.9,5.777777777777778,0.17307692307692307,468.0,4.0310077519379846,0.6976744186046512,6.150602768446279,6.042587568642766,1.951975655003157
311000995,2,168.0,22.0,5.8,7.636363636363637,0.13095238095238096,3696.0,28.96551724137931,3.793103448275862,8.215276958936633,4.431059163218422,1.6921341726075183
338466925,8,19.0,4.0,2.0,4.75,0.21052631578947367,76.0,9.5,2.0,4.343805421853684,21.67382451701121,3.1212111541728147
369703000,4,179.0,23.0,6.7,7.782608695652174,0.12849162011173185,4117.0,26.71641791044776,3.432835820895522,8.323122887587735,3.9522661436338495,1.5998452786137578
366847780,4,30.0,8.0,5.0,3.75,0.26666666666666666,240.0,6.0,1.6,5.484796933490655,2.5553554549784017,1.2684550455925003
368124460,5,58.0,12.0,3.94257698478979,4.833333333333333,0.20689655172413793,696.0,14.711190225012801,3.0436945293129933,6.546785410760524,10.37540069834828,2.4314531904450054
339244972,10,25.0,7.0,2.0,3.5714285714285716,0.28,175.0,12.5,3.5,5.170483995038151,25.93543729440104,3.2934427911743125
368165420,13,27.0,5.5,1.4,4.909090909090909,0.2037037037037037,148.5,19.28571428571429,3.928571428571429,5.0072963928307415,25.89412781659755,3.2919079659968227
338095316,8,12.0,4.0,3.46920952467961,3.0,0.3333333333333333,48.0,3.4590012262543377,1.1530004087514458,3.8918202981106265,26.236103873032192,3.3045434414272306
367769180,4,28.0,12.0,6.0,2.3333333333333335,0.42857142857142855,336.0,4.666666666666667,2.0,5.820082930352362,2.136977389528921,1.143259721509286
386747218,7,27.0,5.9,1.7,4.576271186440677,0.21851851851851853,159.3,15.882352941176471,3.4705882352941178,5.0770470596155075,23.74885378673089,3.208779176295045
636017792,3,145.0,25.0,5.9,5.8,0.1724137931034483,3625.0,24.576271186440678,4.23728813559322,8.195885391314796,5.5832203389830415,1.8845240388329447
241325000,3,333.0,60.0,11.0,5.55,0.18018018018018017,19980.0,30.272727272727273,5.454545454545454,9.902537101000133,5.1368998132593084,1.814319698238559
368926165,7,27.0,5.9,1.7,4.576271186440677,0.21851851851851853,159.3,15.882352941176471,3.4705882352941178,5.0770470596155075,26.15849725842238,3.3016899719411614
273455310,16,81.85,15.9,6.005354730042451,5.147798742138364,0.194257788637752,1301.415,13.629502948516317,2.6476371030105,7.17197551238097,9.671080129666622,2.367537290711906
369970991,7,27.0,6.20662322509814,4.509695238671077,4.350191564846129,0.22987493426289407,167.57882707764978,5.987100806385398,1.3762844042931635,5.127403456884969,29.474670947118348,3.4168958778395866
227000010,7,27.0,5.9,1.7,4.576271186440677,0.21851851851851853,159.3,15.882352941176471,3.4705882352941178,5.0770470596155075,28.108956979324088,3.371045926793525
563624000,3,183.0,32.0,13.3,5.71875,0.17486338797814208,5856.0,13.759398496240602,2.406015037593985,8.675392806089782,8.326173557721699,2.232824808305361
367019340,1,26.0,8.0,3.9,3.25,0.3076923076923077,208.0,6.666666666666667,2.0512820512820515,5.342334251964811,4.116795638109668,1.632528391192639
316007990,4,32.0,11.0,4.0,2.909090909090909,0.34375,352.0,8.0,2.75,5.8664680569332965,1.607837283089585,0.9585212506645989
368120080,9,10.0,4.3,0.9,2.3255813953488373,0.43,43.0,11.11111111111111,4.777777777777778,3.784189633918261,30.968651793821817,3.464755791204169
352003070,3,230.0,32.0,8.1,7.1875,0.1391304347826087,7360.0,28.395061728395063,3.9506172839506175,8.903951072058707,9.921198325621033,2.390705701074602
338926453,13,46.0,6.5,1.4,7.076923076923077,0.14130434782608695,299.0,32.85714285714286,4.642857142857143,5.703782474656201,22.94694138684219,3.1758406074277157
338358538,13,27.0,5.5,1.7199129076186783,4.909090909090909,0.2037037037037037,148.5,15.698469312253204,3.1978363413849116,5.0072963928307415,26.02407611165933,3.2967281765083154
345070018,2,46.0,9.0,9.0,5.111111111111111,0.1956521739130435,414.0,5.111111111111111,1.0,6.028278520230698,10.578891532928631,2.449183745018131
316031774,10,22.539481692125,7.0,1.4525068175005753,3.2199259560178572,0.31056614768766877,157.776371844875,15.517642616583501,4.819254488626335,5.067496745833574,26.950908052274645,3.3304496875268454
366854410,0,56.0,28.0,3.0,2.0,0.5,1568.0,18.666666666666668,9.333333333333334,7.358193752733032,1.868640398973402,1.0538381889459991
367739710,9,15.747331044893173,4.505398848093398,1.1794327249477967,3.495213537322485,0.2861055524424559,70.9480071502071,13.351614476858076,3.819971035900172,4.275943735245926,28.29464514871216,3.377404739890863
655845776,7,75.0,8.0,2.3,9.375,0.10666666666666667,600.0,32.608695652173914,3.4782608695652177,6.398594934535208,26.85835902186509,3.327133065750643
338926543,10,23.031856180898053,6.490578427204987,1.7207433314685618,3.5485059520059097,0.2818087424750456,149.49006886622476,13.384829544125912,3.7719619820729613,5.013897094411817,24.66686109237053,3.2452007081843073
338461147,13,27.0,5.5,1.4,4.909090909090909,0.2037037037037037,148.5,19.28571428571429,3.928571428571429,5.0072963928307415,29.08375524761377,3.4039853332979604
232018808,7,90.0,14.0,3.8,6.428571428571429,0.15555555555555556,1260.0,23.68421052631579,3.68421052631579,7.13966033596492,30.726693400808465,3.4571583896639764
440052000,4,66.0,14.0,5.8,4.714285714285714,0.21212121212121213,924.0,11.379310344827587,2.413793103448276,6.829793737512425,11.760655737704916,2.546366666698484
367599210,4,29.0,10.0,3.5,2.9,0.3448275862068966,290.0,8.285714285714286,2.857142857142857,5.673323267171493,1.5110902688561405,0.9207170288945341
538005359,0,200.0,32.0,10.8,6.25,0.16,6400.0,18.51851851851852,2.962962962962963,8.764209507142004,7.58824162792437,2.1503940151498915
538007255,3,276.0,48.0,9.3,5.75,0.17391304347826086,13248.0,29.677419354838708,5.161290322580645,9.491677356868124,4.800771537958548,1.7579909324914509
368323010,4,19.0,7.0,2.5,2.7142857142857144,0.3684210526315789,133.0,7.6,2.8,4.897839799950911,0.5378549524469847,0.4303885574338392
369970040,7,58.0,12.0,3.2,4.833333333333333,0.20689655172413793,696.0,18.125,3.75,6.546785410760524,27.0264354294623,3.3331481872526925
354993000,2,134.0,21.0,6.0,6.380952380952381,0.15671641791044777,2814.0,22.333333333333332,3.5,7.942717540573791,2.331018818948735,1.2032782088349514
338416036,8,14.0,4.0,2.6197242857916923,3.5,0.2857142857142857,56.0,5.34407383094864,1.5268782374138974,4.04305126783455,10.289101384929648,2.4238377810991802
538009122,0,199.0,32.0,13.1,6.21875,0.16080402010050251,6368.0,15.19083969465649,2.4427480916030535,8.759197750371365,7.881545601977566,2.1839755961351432
224263000,3,284.0,42.0,9.6,6.761904761904762,0.14788732394366197,11928.0,29.583333333333336,4.375,9.386727689281946,10.41047799098771,2.434532055282917
477814400,3,329.0,60.0,21.5,5.483333333333333,0.182370820668693,19740.0,15.30232558139535,2.7906976744186047,9.890452970265668,3.263411994509564,1.450069777380163
377911000,0,97.0,21.0,3.5,4.619047619047619,0.21649484536082475,2037.0,27.714285714285715,6.0,7.61972421378267,5.409312624319635,1.8577520302869734
255803201,0,334.0,42.0,9.6,7.9523809523809526,0.12574850299401197,14028.0,34.79166666666667,4.375,9.548881894718772,8.568969940516709,2.258525565452105
367486910,4,30.0,8.0,3.0,3.75,0.26666666666666666,240.0,10.0,2.6666666666666665,5.484796933490655,1.8531919561663064,1.0484383521854386
538003636,15,62.0,14.5,4.6,4.275862068965517,0.23387096774193547,899.0,13.478260869565219,3.1521739130434785,6.802394763324311,11.192548199022152,2.500824961764005
316018813,10,22.911760662436784,7.0,1.4401997991413678,3.273108666062398,0.30551995122209497,160.38232463705748,15.908737576617174,4.860436728413188,5.083776237057334,27.3532191778216,3.344740574973218
338180561,8,5.0,1.0,2.0707955467214685,5.0,0.2,5.0,2.4145309796112495,0.48290619592224987,1.791759469228055,8.687768380407448,2.2708640980797172
351062000,3,103.0,16.0,5.5,6.4375,0.1553398058252427,1648.0,18.727272727272727,2.909090909090909,7.407924322559599,3.8758928571428575,1.5843032378630135
